GSSCode,year,crimeRate,borough,monthName
E09000002,1,1692,Barking and Dagenham,January
E09000003,1,2294,Barnet,January
E09000004,1,1281,Bexley,January
E09000005,1,2369,Brent,January
E09000006,1,1976,Bromley,January
E09000007,1,2488,Camden,January
E09000008,1,2834,Croydon,January
E09000009,1,2371,Ealing,January
E09000010,1,2577,Enfield,January
E09000011,1,2288,Greenwich,January
E09000012,1,2649,Hackney,January
E09000013,1,1589,Hammersmith and Fulham,January
E09000014,1,2395,Haringey,January
E09000015,1,1303,Harrow,January
E09000016,1,1510,Havering,January
E09000017,1,1950,Hillingdon,January
E09000018,1,1961,Hounslow,January
E09000019,1,2263,Islington,January
E09000020,1,1707,Kensington and Chelsea,January
E09000021,1,1048,Kingston upon Thames,January
E09000022,1,2673,Lambeth,January
E09000023,1,2255,Lewisham,January
E09000024,1,1069,Merton,January
E09000025,1,3064,Newham,January
E09000026,1,2004,Redbridge,January
E09000027,1,999,Richmond upon Thames,January
E09000028,1,2605,Southwark,January
E09000029,1,1089,Sutton,January
E09000030,1,2791,Tower Hamlets,January
E09000031,1,2002,Waltham Forest,January
E09000032,1,1976,Wandsworth,January
E09000033,1,5301,Westminster,January
E09000002,2,1620,Barking and Dagenham,February
E09000003,2,2173,Barnet,February
E09000004,2,1320,Bexley,February
E09000005,2,2402,Brent,February
E09000006,2,1827,Bromley,February
E09000007,2,2637,Camden,February
E09000008,2,2653,Croydon,February
E09000009,2,2364,Ealing,February
E09000010,2,2367,Enfield,February
E09000011,2,2198,Greenwich,February
E09000012,2,2364,Hackney,February
E09000013,2,1590,Hammersmith and Fulham,February
E09000014,2,2261,Haringey,February
E09000015,2,1241,Harrow,February
E09000016,2,1512,Havering,February
E09000017,2,1826,Hillingdon,February
E09000018,2,1874,Hounslow,February
E09000019,2,2177,Islington,February
E09000020,2,1545,Kensington and Chelsea,February
E09000021,2,940,Kingston upon Thames,February
E09000022,2,2485,Lambeth,February
E09000023,2,2153,Lewisham,February
E09000024,2,1043,Merton,February
E09000025,2,3042,Newham,February
E09000026,2,1945,Redbridge,February
E09000027,2,866,Richmond upon Thames,February
E09000028,2,2514,Southwark,February
E09000029,2,1050,Sutton,February
E09000030,2,2627,Tower Hamlets,February
E09000031,2,1768,Waltham Forest,February
E09000032,2,2043,Wandsworth,February
E09000033,2,5296,Westminster,February
E09000002,3,1753,Barking and Dagenham,March
E09000003,3,2440,Barnet,March
E09000004,3,1413,Bexley,March
E09000005,3,2661,Brent,March
E09000006,3,1980,Bromley,March
E09000007,3,2983,Camden,March
E09000008,3,2897,Croydon,March
E09000009,3,2591,Ealing,March
E09000010,3,2748,Enfield,March
E09000011,3,2535,Greenwich,March
E09000012,3,2653,Hackney,March
E09000013,3,1757,Hammersmith and Fulham,March
E09000014,3,2393,Haringey,March
E09000015,3,1355,Harrow,March
E09000016,3,1677,Havering,March
E09000017,3,2061,Hillingdon,March
E09000018,3,2151,Hounslow,March
E09000019,3,2390,Islington,March
E09000020,3,1732,Kensington and Chelsea,March
E09000021,3,1074,Kingston upon Thames,March
E09000022,3,2852,Lambeth,March
E09000023,3,2530,Lewisham,March
E09000024,3,1204,Merton,March
E09000025,3,3309,Newham,March
E09000026,3,2137,Redbridge,March
E09000027,3,957,Richmond upon Thames,March
E09000028,3,2907,Southwark,March
E09000029,3,1172,Sutton,March
E09000030,3,2997,Tower Hamlets,March
E09000031,3,1932,Waltham Forest,March
E09000032,3,2150,Wandsworth,March
E09000033,3,6040,Westminster,March
E09000002,4,,Barking and Dagenham,April
E09000003,4,,Barnet,April
E09000004,4,,Bexley,April
E09000005,4,,Brent,April
E09000006,4,,Bromley,April
E09000007,4,,Camden,April
E09000008,4,,Croydon,April
E09000009,4,,Ealing,April
E09000010,4,,Enfield,April
E09000011,4,,Greenwich,April
E09000012,4,,Hackney,April
E09000013,4,,Hammersmith and Fulham,April
E09000014,4,,Haringey,April
E09000015,4,,Harrow,April
E09000016,4,,Havering,April
E09000017,4,,Hillingdon,April
E09000018,4,,Hounslow,April
E09000019,4,,Islington,April
E09000020,4,,Kensington and Chelsea,April
E09000021,4,,Kingston upon Thames,April
E09000022,4,,Lambeth,April
E09000023,4,,Lewisham,April
E09000024,4,,Merton,April
E09000025,4,,Newham,April
E09000026,4,,Redbridge,April
E09000027,4,,Richmond upon Thames,April
E09000028,4,,Southwark,April
E09000029,4,,Sutton,April
E09000030,4,,Tower Hamlets,April
E09000031,4,,Waltham Forest,April
E09000032,4,,Wandsworth,April
E09000033,4,,Westminster,April
E09000002,5,,Barking and Dagenham,May
E09000003,5,,Barnet,May
E09000004,5,,Bexley,May
E09000005,5,,Brent,May
E09000006,5,,Bromley,May
E09000007,5,,Camden,May
E09000008,5,,Croydon,May
E09000009,5,,Ealing,May
E09000010,5,,Enfield,May
E09000011,5,,Greenwich,May
E09000012,5,,Hackney,May
E09000013,5,,Hammersmith and Fulham,May
E09000014,5,,Haringey,May
E09000015,5,,Harrow,May
E09000016,5,,Havering,May
E09000017,5,,Hillingdon,May
E09000018,5,,Hounslow,May
E09000019,5,,Islington,May
E09000020,5,,Kensington and Chelsea,May
E09000021,5,,Kingston upon Thames,May
E09000022,5,,Lambeth,May
E09000023,5,,Lewisham,May
E09000024,5,,Merton,May
E09000025,5,,Newham,May
E09000026,5,,Redbridge,May
E09000027,5,,Richmond upon Thames,May
E09000028,5,,Southwark,May
E09000029,5,,Sutton,May
E09000030,5,,Tower Hamlets,May
E09000031,5,,Waltham Forest,May
E09000032,5,,Wandsworth,May
E09000033,5,,Westminster,May
E09000002,6,,Barking and Dagenham,June
E09000003,6,,Barnet,June
E09000004,6,,Bexley,June
E09000005,6,,Brent,June
E09000006,6,,Bromley,June
E09000007,6,,Camden,June
E09000008,6,,Croydon,June
E09000009,6,,Ealing,June
E09000010,6,,Enfield,June
E09000011,6,,Greenwich,June
E09000012,6,,Hackney,June
E09000013,6,,Hammersmith and Fulham,June
E09000014,6,,Haringey,June
E09000015,6,,Harrow,June
E09000016,6,,Havering,June
E09000017,6,,Hillingdon,June
E09000018,6,,Hounslow,June
E09000019,6,,Islington,June
E09000020,6,,Kensington and Chelsea,June
E09000021,6,,Kingston upon Thames,June
E09000022,6,,Lambeth,June
E09000023,6,,Lewisham,June
E09000024,6,,Merton,June
E09000025,6,,Newham,June
E09000026,6,,Redbridge,June
E09000027,6,,Richmond upon Thames,June
E09000028,6,,Southwark,June
E09000029,6,,Sutton,June
E09000030,6,,Tower Hamlets,June
E09000031,6,,Waltham Forest,June
E09000032,6,,Wandsworth,June
E09000033,6,,Westminster,June
E09000002,7,,Barking and Dagenham,July
E09000003,7,,Barnet,July
E09000004,7,,Bexley,July
E09000005,7,,Brent,July
E09000006,7,,Bromley,July
E09000007,7,,Camden,July
E09000008,7,,Croydon,July
E09000009,7,,Ealing,July
E09000010,7,,Enfield,July
E09000011,7,,Greenwich,July
E09000012,7,,Hackney,July
E09000013,7,,Hammersmith and Fulham,July
E09000014,7,,Haringey,July
E09000015,7,,Harrow,July
E09000016,7,,Havering,July
E09000017,7,,Hillingdon,July
E09000018,7,,Hounslow,July
E09000019,7,,Islington,July
E09000020,7,,Kensington and Chelsea,July
E09000021,7,,Kingston upon Thames,July
E09000022,7,,Lambeth,July
E09000023,7,,Lewisham,July
E09000024,7,,Merton,July
E09000025,7,,Newham,July
E09000026,7,,Redbridge,July
E09000027,7,,Richmond upon Thames,July
E09000028,7,,Southwark,July
E09000029,7,,Sutton,July
E09000030,7,,Tower Hamlets,July
E09000031,7,,Waltham Forest,July
E09000032,7,,Wandsworth,July
E09000033,7,,Westminster,July
E09000002,8,,Barking and Dagenham,August
E09000003,8,,Barnet,August
E09000004,8,,Bexley,August
E09000005,8,,Brent,August
E09000006,8,,Bromley,August
E09000007,8,,Camden,August
E09000008,8,,Croydon,August
E09000009,8,,Ealing,August
E09000010,8,,Enfield,August
E09000011,8,,Greenwich,August
E09000012,8,,Hackney,August
E09000013,8,,Hammersmith and Fulham,August
E09000014,8,,Haringey,August
E09000015,8,,Harrow,August
E09000016,8,,Havering,August
E09000017,8,,Hillingdon,August
E09000018,8,,Hounslow,August
E09000019,8,,Islington,August
E09000020,8,,Kensington and Chelsea,August
E09000021,8,,Kingston upon Thames,August
E09000022,8,,Lambeth,August
E09000023,8,,Lewisham,August
E09000024,8,,Merton,August
E09000025,8,,Newham,August
E09000026,8,,Redbridge,August
E09000027,8,,Richmond upon Thames,August
E09000028,8,,Southwark,August
E09000029,8,,Sutton,August
E09000030,8,,Tower Hamlets,August
E09000031,8,,Waltham Forest,August
E09000032,8,,Wandsworth,August
E09000033,8,,Westminster,August
E09000002,9,,Barking and Dagenham,September
E09000003,9,,Barnet,September
E09000004,9,,Bexley,September
E09000005,9,,Brent,September
E09000006,9,,Bromley,September
E09000007,9,,Camden,September
E09000008,9,,Croydon,September
E09000009,9,,Ealing,September
E09000010,9,,Enfield,September
E09000011,9,,Greenwich,September
E09000012,9,,Hackney,September
E09000013,9,,Hammersmith and Fulham,September
E09000014,9,,Haringey,September
E09000015,9,,Harrow,September
E09000016,9,,Havering,September
E09000017,9,,Hillingdon,September
E09000018,9,,Hounslow,September
E09000019,9,,Islington,September
E09000020,9,,Kensington and Chelsea,September
E09000021,9,,Kingston upon Thames,September
E09000022,9,,Lambeth,September
E09000023,9,,Lewisham,September
E09000024,9,,Merton,September
E09000025,9,,Newham,September
E09000026,9,,Redbridge,September
E09000027,9,,Richmond upon Thames,September
E09000028,9,,Southwark,September
E09000029,9,,Sutton,September
E09000030,9,,Tower Hamlets,September
E09000031,9,,Waltham Forest,September
E09000032,9,,Wandsworth,September
E09000033,9,,Westminster,September
E09000002,10,,Barking and Dagenham,October
E09000003,10,,Barnet,October
E09000004,10,,Bexley,October
E09000005,10,,Brent,October
E09000006,10,,Bromley,October
E09000007,10,,Camden,October
E09000008,10,,Croydon,October
E09000009,10,,Ealing,October
E09000010,10,,Enfield,October
E09000011,10,,Greenwich,October
E09000012,10,,Hackney,October
E09000013,10,,Hammersmith and Fulham,October
E09000014,10,,Haringey,October
E09000015,10,,Harrow,October
E09000016,10,,Havering,October
E09000017,10,,Hillingdon,October
E09000018,10,,Hounslow,October
E09000019,10,,Islington,October
E09000020,10,,Kensington and Chelsea,October
E09000021,10,,Kingston upon Thames,October
E09000022,10,,Lambeth,October
E09000023,10,,Lewisham,October
E09000024,10,,Merton,October
E09000025,10,,Newham,October
E09000026,10,,Redbridge,October
E09000027,10,,Richmond upon Thames,October
E09000028,10,,Southwark,October
E09000029,10,,Sutton,October
E09000030,10,,Tower Hamlets,October
E09000031,10,,Waltham Forest,October
E09000032,10,,Wandsworth,October
E09000033,10,,Westminster,October
E09000002,11,,Barking and Dagenham,November
E09000003,11,,Barnet,November
E09000004,11,,Bexley,November
E09000005,11,,Brent,November
E09000006,11,,Bromley,November
E09000007,11,,Camden,November
E09000008,11,,Croydon,November
E09000009,11,,Ealing,November
E09000010,11,,Enfield,November
E09000011,11,,Greenwich,November
E09000012,11,,Hackney,November
E09000013,11,,Hammersmith and Fulham,November
E09000014,11,,Haringey,November
E09000015,11,,Harrow,November
E09000016,11,,Havering,November
E09000017,11,,Hillingdon,November
E09000018,11,,Hounslow,November
E09000019,11,,Islington,November
E09000020,11,,Kensington and Chelsea,November
E09000021,11,,Kingston upon Thames,November
E09000022,11,,Lambeth,November
E09000023,11,,Lewisham,November
E09000024,11,,Merton,November
E09000025,11,,Newham,November
E09000026,11,,Redbridge,November
E09000027,11,,Richmond upon Thames,November
E09000028,11,,Southwark,November
E09000029,11,,Sutton,November
E09000030,11,,Tower Hamlets,November
E09000031,11,,Waltham Forest,November
E09000032,11,,Wandsworth,November
E09000033,11,,Westminster,November
E09000002,12,,Barking and Dagenham,December
E09000003,12,,Barnet,December
E09000004,12,,Bexley,December
E09000005,12,,Brent,December
E09000006,12,,Bromley,December
E09000007,12,,Camden,December
E09000008,12,,Croydon,December
E09000009,12,,Ealing,December
E09000010,12,,Enfield,December
E09000011,12,,Greenwich,December
E09000012,12,,Hackney,December
E09000013,12,,Hammersmith and Fulham,December
E09000014,12,,Haringey,December
E09000015,12,,Harrow,December
E09000016,12,,Havering,December
E09000017,12,,Hillingdon,December
E09000018,12,,Hounslow,December
E09000019,12,,Islington,December
E09000020,12,,Kensington and Chelsea,December
E09000021,12,,Kingston upon Thames,December
E09000022,12,,Lambeth,December
E09000023,12,,Lewisham,December
E09000024,12,,Merton,December
E09000025,12,,Newham,December
E09000026,12,,Redbridge,December
E09000027,12,,Richmond upon Thames,December
E09000028,12,,Southwark,December
E09000029,12,,Sutton,December
E09000030,12,,Tower Hamlets,December
E09000031,12,,Waltham Forest,December
E09000032,12,,Wandsworth,December
E09000033,12,,Westminster,December
